east,north,yaw
-5.97862664,2.54263804,79.52976887
-5.96003541,2.63896433,79.40522679
-5.94123414,2.73403104,79.27633530
-5.92219168,2.82806109,79.13047530
-5.90287688,2.92127737,78.95036873
-5.88325860,3.01390277,78.70101139
-5.86327277,3.10634881,78.43439796
-5.84293368,3.19855559,78.22197071
-5.82221397,3.29074449,78.01321355
-5.80109038,3.38310472,77.80813586
-5.77955861,3.47571816,77.60674734
-5.75766747,3.56839263,77.40905586
-5.73546183,3.66095973,77.21507030
-5.71292938,3.75352503,77.02479836
-5.69007687,3.84609078,76.83824627
-5.66690952,3.93865889,76.65542096
-5.64343108,4.03123092,76.47632801
-5.61963650,4.12380641,76.30097276
-5.59553708,4.21638854,76.12936050
-5.57113853,4.30897922,75.96149572
-5.54644654,4.40158036,75.79738248
-5.52146681,4.49419386,75.63702434
-5.49620508,4.58682162,75.48042512
-5.47066699,4.67946550,75.32758705
-5.44485834,4.77212741,75.17851258
-5.41878483,4.86480919,75.03320500
-5.39245215,4.95751269,74.89166530
-5.36586614,5.05023982,74.75389541
-5.33903249,5.14299239,74.61989741
-5.31195700,5.23577226,74.48967174
-5.28464538,5.32858126,74.36321944
-5.25710348,5.42142126,74.24054169
-5.22933708,5.51429408,74.12163877
-5.20135192,5.60720154,74.00651066
-5.17315390,5.70014550,73.89515799
-5.14463774,5.79309446,73.78758140
-5.11609623,5.88613621,73.68377947
-5.08746521,5.97925186,73.58375258
-5.05868063,6.07242239,73.48750095
-5.02968207,6.16562964,73.39502377
-5.00041394,6.25886301,73.30632013
-4.97083421,6.35210160,73.22138945
-4.94089872,6.44531293,73.14023196
-4.91062632,6.53850195,73.06284639
-4.88002152,6.63168404,72.98923192
-4.84908677,6.72488467,72.91662352
-4.81810491,6.81821837,72.84786616
-4.78693930,6.91167825,72.78856284
-4.75559742,7.00529519,72.73853503
-4.72409577,7.09909210,72.69727425
-4.69246292,7.19307963,72.66392988
-4.66072956,7.28721613,72.63729959
-4.62899569,7.38146633,72.61581575
-4.59738705,7.47583594,72.59754165
-4.56596773,7.57032206,72.58017470
-4.53477694,7.66492566,72.56104525
-4.50398608,7.75970073,72.54411375
-4.47325661,7.85455265,72.53253256
-4.44266842,7.94952231,72.52399901
-4.41225578,8.04463497,72.51837988
